,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salmon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grain, Cotton, Feed, Farm & Home, Vegetable Plants, Herbs & Flowers,,,,,,,,,,,,,,,,,,,,,,,
Feed, Seed, Fertilizer, Chemicals, Gardening Supplies, Clothing,,,,,,,,,,,,,,,,,,,,,,,
Feed, Seed, Fertilizer, Chemicals, Garden Supplies, Plants,,,,,,,,,,,,,,,,,,,,,,,
Feed, Farm and Home, Garden Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,
Feed, Seed, Fertilizer, Chemicals, Petroleum, Other Products,,,,,,,,,,,,,,,,,,,,,,,
Feed, Fertilizer, Garden Supplies, Animal Health, Farm Supplies,,,,,,,,,,,,,,,,,,,,,,,,
Cottonseed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cotton Ginning and Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Livestock Auction,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fertilizer, Seed, Chemicals, Feed, Petroleum, Tires, Hardware, Garden Center,,,,,,,,,,,,,,,,,,,,,
Petroleum, Grain, Tires, Car Care Centers, Convenience Stores, Livestock Feed, Fertilizer, Agricultural Chemicals, Propane, Lubricants,,,,,,,,,,,,,,,,,,,
Wheat, Corn, Fertilizer, Chemicals, Application, Fuel, Tires, Repairs, Hardware, Oil grease, Feed, Trucking, and Consulting,,,,,,,,,,,,,,,,
Fertilizer, Wheat, Barley, Seed, Feed, Propane,,,,,,,,,,,,,,,,,,,,,,,
Fuel, Feed, Fertilizer, Ag Chemicals, Tires, Saddle and Tack, Seed, Animal Health Products,,,,,,,,,,,,,,,,,,,,,
Petroleum, Tires, Mechanical Services,,,,,,,,,,,,,,,,,,,,,,,,,,
Petroleum, Feed, Fertilizer, Tires,,,,,,,,,,,,,,,,,,,,,,,,,
Feed, Seed, Fertilizer, Chemicals, Petroleum,,,,,,,,,,,,,,,,,,,,,,,,
Petroleum, Fertilizer, Chemicals, Feed, Batteries, Tires and Auto Accessories, and Other Supplies,,,,,,,,,,,,,,,,,,,,,,
Potatoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wheat, Corn, Millet, Petroleum, Feed, Fertilizer, Ag Chemicals, TBA,,,,,,,,,,,,,,,,,,,,,
Petroleum, Feed, Fertilizer, Agricultural Chemicals, Tires, Fertilizer Application, Consulting Services,,,,,,,,,,,,,,,,,,,,,,
Energy, Farm Store,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fertilizer Application, Fertilizer, Agricultural Chemicals,,,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Milo, Wheat, Feed, Petroleum, Fertilizer, Millett, Sunflowers, Agricultural Chemicals,,,,,,,,,,,,,,,,,,,,
Corn, Wheat, Soybeans, Oats, Fertilizer, Agricultural Chemicals,,,,,,,,,,,,,,,,,,,,,,,
Grain, Fuel, Fertilizer, Chemicals, Wheat, Corn,,,,,,,,,,,,,,,,,,,,,,,
Grass Finished Beef,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manure, Nutrient Management,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shellfish (Oysters),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feed, Seed, Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,,,
Cold storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fertilizer, Auto Service Center, Tires,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemicals, Fertilizers, Boxes, Wholesale Distribution,,,,,,,,,,,,,,,,,,,,,,,,,
Citrus Juices,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citrus Fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feed, Seed, Fertilizer, Petroleum, Chemicals, etc.,,,,,,,,,,,,,,,,,,,,,,,
Citrus,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw Sugar, Cane Molasses,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Beans, Pole Beans, Wax Beans, Ky Beans, Hot Peppers, All Yellow and Green Squash, Okra, Sweet Corn, Tomatoes, Limes, Avocados, Mangoes, Carambola, Yuca, Calabaza, Yams, Malanga and Yautia,,,,,,,,,,,,
Fresh Citrus Fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Live Horses, Feed, Other Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweet Corn, Green Beans, Radishes, Celery, Cabbage ,,,,,,,,,,,,,,,,,,,,,,,,
Milk, Cream, UF Milk,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugar and Molasses,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chestnuts,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citrus Management Services, Fresh Citrus, Processed Citrus (Florida's Natural Juices),,,,,,,,,,,,,,,,,,,,,,,,,,
Feed, Seed, Fertilzer, Chemicals, Petroleum, Other,,,,,,,,,,,,,,,,,,,,,,,
Apple Storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peanuts,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feed, Seed, Fertilizer, Crop Protectants,,,,,,,,,,,,,,,,,,,,,,,,,
Livestock, Transportation ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irrigation, Fertilizer, Feed, Pesticides, Fencing, Plant Media, Seed, Animal Supplies, Tools,,,,,,,,,,,,,,,,,,,,
Vacuum Cooling and Refridgeration of Fresh Produce, Fruits, Plants,,,,,,,,,,,,,,,,,,,,,,,,,,
Fish,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresh Fish, Fish Products, and Ice,,,,,,,,,,,,,,,,,,,,,,,,,,
Grain, Grain Storage, Feed, Crop Inputs, Fuel, Propane,,,,,,,,,,,,,,,,,,,,,,,
Seed, Petroleum, Fertilizer, Agricultural Chemicals, Fertilizer Application,,,,,,,,,,,,,,,,,,,,,,,,
Grain, Feed, Agronomy,,,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Oats, Soybeans, Feed, Seed, Fertilizer, Ag Chemicals, Feed Manufacturing, Fertilizer Application, Spraying,,,,,,,,,,,,,,,,,,,
Corn, Soybeans, Seed, Fertilizer, Ag Chemicals, Agronomy Chemicals,,,,,,,,,,,,,,,,,,,,,,,
Drying, Storage, Seed, Feed, Corn, Soybeans, Oats, Ag Chemicals,,,,,,,,,,,,,,,,,,,,,
Feed, Seed, Grain, Chemicals, Fertilizer, Petroleum,,,,,,,,,,,,,,,,,,,,,,,
Auto Services, Diesel Service, Gasoline, Diesel, Solutions, Farm Delivery, Tires, Convenience Stores,,,,,,,,,,,,,,,,,,,,,
Corn, Soybeans, Oats, Feed, Fertilizer, Agricultural Products (Crop Protein Products), Feed Manufacturing, Fertilizer Application,,,,,,,,,,,,,,,,,,,,,
Refined Fuels, Propane, TBA,,,,,,,,,,,,,,,,,,,,,,,,,,
Petroleum Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Soybeans, Feed, Seed, Fertilizer, Chemicals, Petroleum,,,,,,,,,,,,,,,,,,,,,,
Corn, Soybeans, Petroleum, Feed, Fertilizer, Agricultural Chemicals, Tires, Feed Manufacturing, Fertilizer Application,,,,,,,,,,,,,,,,,,,,
Grain, Feed, Seed, Fertilizer, Crop Protectants, Petroleum,,,,,,,,,,,,,,,,,,,,,,,
Corn, Soybeans, Feed, Petroleum, Tires, Agronomy,,,,,,,,,,,,,,,,,,,,,,,
Corn, Soybeans, Feed, Seed, Fertilizer, Ag Chemicals, Feed Manufacturing, Agronomy Application,,,,,,,,,,,,,,,,,,,,,
Grain, Feed, Seed, Fertilizer, Crop Protectants,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Soybeans, Oats, Petroleum, Feed, Fertilizer, Ag Chemicals, Feed Manufacturing, Fertilizer Application,,,,,,,,,,,,,,,,,,,,
Corn, Soybeans, Oats, Building Products, Ag Chemicals, Fertilizer, Seed, Petroleum Products, Manufactured Feeds, SIP Panels Insurance; Fertilizer Applications, Consulting Services,,,,,,,,,,,,,,,,,,
Grains, Feed, Petroleum,,,,,,,,,,,,,,,,,,,,,,,,,,
Crop Inputs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grain, Feed, Agronomy, Lumber,,,,,,,,,,,,,,,,,,,,,,,,,
Lumber, Fencing, Paint, Building Supplies, Hardware, Windows, Doors,,,,,,,,,,,,,,,,,,,,,,
Building Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Soybeans, Oats, Feed, Petroleum, Fertilizer, Chemicals, Consulting, Custom Application,,,,,,,,,,,,,,,,,,,,
Grain, Fertilizer, Chemicals, Propane, Refined Fuels, Custom Application,,,,,,,,,,,,,,,,,,,,,,,
Retail Farm Supply, Grain, Feed, Fertilizer, Petroleum Products,,,,,,,,,,,,,,,,,,,,,,,,
Grains, Feed, Seed, Fertilizer, Chemicals, Petroleum, Other Supplies,,,,,,,,,,,,,,,,,,,,,,
Corn, Soybeans, Feed, Fertilizer, Agricultural Chemicals,,,,,,,,,,,,,,,,,,,,,,,,
Petroleum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grain Storage, Handling, Corn, Soybeans, Fertilizer, Seed, Chemicals, Petroleum, Fertilizer Application, Petroleum Products, Feed,,,,,,,,,,,,,,,,,,
Corn, Oats, Soybeans, Feed, Fertilizer, Agricultural Chemicals, Tires, Feed Manufacturing, Fertilizer Application, Lumber, Service Station, Convenience Store,,,,,,,,,,,,,,,,,
Corn, Soybeans, Feed, Seed, Fertilizer, Chemicals, LP, Refined Fuels, Other Supplies,,,,,,,,,,,,,,,,,,,,
Corn, Soybeans, Petroleum, Fertilizer, Chemicals, Trucking, Seed Corn, Seed Soybeans, Animal Feed, Propane, Refined Fuel, Lumber,  Presicion Ag Equipment Services,,,,,,,,,,,,,,,,
Corn, Soybeans, Oats, Feed, Fertilizer, Ag Chemicals, Feed Manufacturing, Fertilizer Application, Consulting Services,,,,,,,,,,,,,,,,,,,,
Corn, Soybeans, Petroleum, Feed, Fertilizer, Agricultural Chemicals, Tires, Lawn Care Services, Fertilizer Application, Consulting Services,,,,,,,,,,,,,,,,,,,
Corn, Oats, Soybeans, Storages,,,,,,,,,,,,,,,,,,,,,,,,,
Feed, Seed, Fertilizer, Agricultural Chemicals, Petroleum,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Soybeans, Chemicals, Fertilizer, Petroleum, Crop Insurance, Grain Marketing Services,,,,,,,,,,,,,,,,,,,,,,
Petroleum,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Soybeans, Feed, Seed, Fertilizer, Chemicals, Input Financing, Farm Merchandise, Fuel, Feed Manufacturing, Fertilizer and Chemical Application, Consulting Services,,,,,,,,,,,,,,,,,
Raw Milk, Wheat, Corn, Soybeans, Milo, Hogs, Cattle, Organic Milk, Organic Grains, Antibiotic Free Hogs,,,,,,,,,,,,,,,,,,,
Corn, Soybeans, Oats, Seed, Feed, Fertilizer, Crop Production Products, Lumberyard,,,,,,,,,,,,,,,,,,,,,
Corn, Soybeans, Oats, Feed, Fertilizer, Chemicals, Applications, Feed Manufacturing, Propane,,,,,,,,,,,,,,,,,,,,
Grain, Agronomy, Merchandise, Feed, Petroleum, TBA,,,,,,,,,,,,,,,,,,,,,,,
Fuel, Gas, Propane, Petroleum, Lube Oils, Anhydrous,,,,,,,,,,,,,,,,,,,,,,,
Grain, Feed, Seed, Fertilizer, Agricultural Chemicals, Petroleum,,,,,,,,,,,,,,,,,,,,,,,
Corn, Soybeans, Oats, Petroleum, Feed, Fertilizer, Agricultural Chemicals, Feed Manufacturing, Fertilizer Application, Consulting Services, Trucking,,,,,,,,,,,,,,,,,,
Honey,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ethanol, Feed,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Soybeans,  Feed, Seed, Fertilizer, Chemicals,,,,,,,,,,,,,,,,,,,,,,,
Grain, Corn, Soybeans, Feed, Fertilizer, Chemicals,,,,,,,,,,,,,,,,,,,,,,,
Corn, Wheat, Soybeans, Petroleum Products, Feed, Fertilizers, Agricultural Chemicals, Fertilizer and Chemical Application, Refined Fuels,,,,,,,,,,,,,,,,,,,,
Corn, Soybeans, Oats, Beans, Petroleum, Feed, Fertilizer, Agricultural Chemicals, Farm Financing, Feed Manufacturing, Fertilizer Application, Consulting Services, Trucking,,,,,,,,,,,,,,,,
Feed, Seed, Agronomy, Petroleum, Propane, Corn, Soybeans, Oats,,,,,,,,,,,,,,,,,,,,,
Grain, Feed, Fertilizer, Chemicals, Petroleum,,,,,,,,,,,,,,,,,,,,,,,,
Grain, Feed, Seed, Fertilizer, Crop Protectants, Petroleum Products,,,,,,,,,,,,,,,,,,,,,,,
Fertilizer and Insurance Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feed, Seed, Fertilizer, Chemicals, Petroleum, Grain,,,,,,,,,,,,,,,,,,,,,,,
Petroleum and Energy Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feed, Seed, Fertilizer, Chemicals, Petroleum,,,,,,,,,,,,,,,,,,,,,,,,
Seeds: Alfalfa, Grass, Lawn,,,,,,,,,,,,,,,,,,,,,,,,,,
Non Fat Dry Milk, Condensed Milk, Cream, Organic Milk,,,,,,,,,,,,,,,,,,,,,,,,,
Storage Facility,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dairy Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seed, Wheat, Barley,,,,,,,,,,,,,,,,,,,,,,,,,,
Grains, Seeds,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheep,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw Milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beet Sugar and Associated By-Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potatoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feed, Petroleum, Propane, Retail Store,,,,,,,,,,,,,,,,,,,,,,,,,
LP, Fuel, Chemicals, Seed, & Fertilizer,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Peas, Wheat, Seed, Petroleum, LP, Feed, Farm Finance, Fertilizer Application,,,,,,,,,,,,,,,,,,,,
Corn, Soybeans, Wheat,,,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Soybeans, Wheat,,,,,,,,,,,,,,,,,,,,,,,,,,
Seed, Fertilizer, Agricultural Chemicals, Petroleum Products,,,,,,,,,,,,,,,,,,,,,,,,,
Grain, Feed, Seed, Fertilizer, Chemicals, Petroleum,,,,,,,,,,,,,,,,,,,,,,,
Complete Feeds, Feed Ingredients, Animal Health Products, Livestock Equipment,,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Wheat, Soybeans, Oats, Feed Mill,,,,,,,,,,,,,,,,,,,,,,,,
Farm, Landscape and Turf Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wheat, Corn, Soybeans,,,,,,,,,,,,,,,,,,,,,,,,,,
Grain, Fertilizer, Seed, Agricultural Chemicals, Custom Application,,,,,,,,,,,,,,,,,,,,,,,,
Grain,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Soybeans, Wheat, Fertilizer, Chemicals, Custom Application,,,,,,,,,,,,,,,,,,,,,,,
Onion Sets, Root Vegetables and Shallots,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Beans, Fertilizer, Ag Chemicals,,,,,,,,,,,,,,,,,,,,,,,,,
Corn, Soybeans, Wheat, Petroleum, Feed Manufacturing, Fertilizer, Agricultural Chemicals, Custom Application, Seed, Hardware,,,,,,,,,,,,,,,,,,,
Corn, Soybeans, Wheat,,,,,,,,,,,,,,,,,,,,,,,,,,
Seed, Corn, Soybeans, Petroleum, Fertilizer, Agricultural Chemicals, Farm Financing, Fertilizer, and Chemical Application,,,,,,,,,,,,,,,,,,,,
Corn, Soybeans, Drying and Storage,,,,,,,,,,,,,,,,,,,,,,,,,,
