state,state fips,county,county code,commodity,data item,domain category,value
US TOTAL,99,,,BLACKBERRIES,"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - OPERATIONS WITH AREA BEARING",AREA GROWN: (1.0 TO 4.9 ACRES),"1,736"
US TOTAL,99,,,BLACKBERRIES,"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - OPERATIONS WITH AREA BEARING",AREA GROWN: (5.0 TO 14.9 ACRES),289
US TOTAL,99,,,BLACKBERRIES,"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - OPERATIONS WITH AREA BEARING",AREA GROWN: (15.0 TO 24.9 ACRES),80
US TOTAL,99,,,BLACKBERRIES,"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - OPERATIONS WITH AREA BEARING",AREA GROWN: (25.0 TO 49.9 ACRES),53
US TOTAL,99,,,BLACKBERRIES,"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - OPERATIONS WITH AREA BEARING",AREA GROWN: (50.0 TO 99.9 ACRES),37
US TOTAL,99,,,BLACKBERRIES,"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - OPERATIONS WITH AREA BEARING",AREA GROWN: (100 OR MORE ACRES),17
US TOTAL,99,,,BLACKBERRIES,"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - ACRES BEARING",,"14,237"
US TOTAL,99,,,BLACKBERRIES,"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - ACRES BEARING",AREA GROWN: (0.1 TO 0.9 ACRES),"1,258"
US TOTAL,99,,,BLACKBERRIES,"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - ACRES BEARING",AREA GROWN: (1.0 TO 4.9 ACRES),"2,548"
US TOTAL,99,,,BLACKBERRIES,"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - ACRES BEARING",AREA GROWN: (5.0 TO 14.9 ACRES),"2,049"
US TOTAL,99,,,BLACKBERRIES,"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - ACRES BEARING",AREA GROWN: (15.0 TO 24.9 ACRES),"1,249"
US TOTAL,99,,,BLACKBERRIES,"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - ACRES BEARING",AREA GROWN: (25.0 TO 49.9 ACRES),"1,635"
US TOTAL,99,,,BLACKBERRIES,"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - ACRES BEARING",AREA GROWN: (50.0 TO 99.9 ACRES),"2,282"
US TOTAL,99,,,BLACKBERRIES,"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - ACRES BEARING",AREA GROWN: (100 OR MORE ACRES),"3,216"
US TOTAL,99,,,BLACKBERRIES,"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - OPERATIONS WITH AREA NON-BEARING",,"2,527"
US TOTAL,99,,,BLACKBERRIES,"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - OPERATIONS WITH AREA NON-BEARING",AREA GROWN: (0.1 TO 0.9 ACRES),"1,803"
US TOTAL,99,,,BLACKBERRIES,"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - OPERATIONS WITH AREA NON-BEARING",AREA GROWN: (1.0 TO 4.9 ACRES),576
US TOTAL,99,,,BLACKBERRIES,"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - OPERATIONS WITH AREA NON-BEARING",AREA GROWN: (5.0 TO 14.9 ACRES),81
US TOTAL,99,,,BLACKBERRIES,"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - OPERATIONS WITH AREA NON-BEARING",AREA GROWN: (15.0 TO 24.9 ACRES),29
US TOTAL,99,,,BLACKBERRIES,"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - OPERATIONS WITH AREA NON-BEARING",AREA GROWN: (25.0 TO 49.9 ACRES),14
US TOTAL,99,,,BLACKBERRIES,"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - OPERATIONS WITH AREA NON-BEARING",AREA GROWN: (50.0 TO 99.9 ACRES),19
US TOTAL,99,,,BLACKBERRIES,"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - OPERATIONS WITH AREA NON-BEARING",AREA GROWN: (100 OR MORE ACRES),5
US TOTAL,99,,,BLACKBERRIES,"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - ACRES NON-BEARING",,"2,434"
US TOTAL,99,,,BLACKBERRIES,"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - ACRES NON-BEARING",AREA GROWN: (0.1 TO 0.9 ACRES),385
US TOTAL,99,,,BLACKBERRIES,"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - ACRES NON-BEARING",AREA GROWN: (1.0 TO 4.9 ACRES),592
US TOTAL,99,,,BLACKBERRIES,"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - ACRES NON-BEARING",AREA GROWN: (5.0 TO 14.9 ACRES),288
US TOTAL,99,,,BLACKBERRIES,"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - ACRES NON-BEARING",AREA GROWN: (15.0 TO 24.9 ACRES),251
US TOTAL,99,,,BLACKBERRIES,"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - ACRES NON-BEARING",AREA GROWN: (25.0 TO 49.9 ACRES),205
US TOTAL,99,,,BLACKBERRIES,"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - ACRES NON-BEARING",AREA GROWN: (50.0 TO 99.9 ACRES),499
US TOTAL,99,,,BLACKBERRIES,"BLACKBERRIES, INCL DEWBERRIES & MARIONBERRIES - ACRES NON-BEARING",AREA GROWN: (100 OR MORE ACRES),215
US TOTAL,99,,,BLUEBERRIES,BLUEBERRIES - OPERATIONS WITH AREA GROWN,,"15,933"
US TOTAL,99,,,BLUEBERRIES,BLUEBERRIES - ACRES GROWN,,"153,258"
US TOTAL,99,,,BLUEBERRIES,BLUEBERRIES - OPERATIONS WITH AREA BEARING,,"13,578"
US TOTAL,99,,,BLUEBERRIES,BLUEBERRIES - ACRES BEARING,,"118,443"
US TOTAL,99,,,BLUEBERRIES,BLUEBERRIES - OPERATIONS WITH AREA NON-BEARING,,"5,074"
US TOTAL,99,,,BLUEBERRIES,BLUEBERRIES - ACRES NON-BEARING,,"34,815"
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, TAME - OPERATIONS WITH AREA GROWN",,"14,964"
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, TAME - OPERATIONS WITH AREA GROWN",AREA GROWN: (0.1 TO 0.9 ACRES),"8,129"
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, TAME - OPERATIONS WITH AREA GROWN",AREA GROWN: (1.0 TO 4.9 ACRES),"4,582"
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, TAME - OPERATIONS WITH AREA GROWN",AREA GROWN: (5.0 TO 14.9 ACRES),"1,161"
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, TAME - OPERATIONS WITH AREA GROWN",AREA GROWN: (15.0 TO 24.9 ACRES),355
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, TAME - OPERATIONS WITH AREA GROWN",AREA GROWN: (25.0 TO 49.9 ACRES),313
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, TAME - OPERATIONS WITH AREA GROWN",AREA GROWN: (50.0 TO 99.9 ACRES),178
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, TAME - OPERATIONS WITH AREA GROWN",AREA GROWN: (100 OR MORE ACRES),246
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, TAME - ACRES GROWN",,"113,199"
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, TAME - ACRES GROWN",AREA GROWN: (0.1 TO 0.9 ACRES),"2,218"
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, TAME - ACRES GROWN",AREA GROWN: (1.0 TO 4.9 ACRES),"8,256"
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, TAME - ACRES GROWN",AREA GROWN: (5.0 TO 14.9 ACRES),"9,019"
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, TAME - ACRES GROWN",AREA GROWN: (15.0 TO 24.9 ACRES),"6,597"
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, TAME - ACRES GROWN",AREA GROWN: (25.0 TO 49.9 ACRES),"10,718"
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, TAME - ACRES GROWN",AREA GROWN: (50.0 TO 99.9 ACRES),"11,960"
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, TAME - ACRES GROWN",AREA GROWN: (100 OR MORE ACRES),"64,431"
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, TAME - OPERATIONS WITH AREA BEARING",,"12,739"
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, TAME - OPERATIONS WITH AREA BEARING",AREA GROWN: (0.1 TO 0.9 ACRES),"6,429"
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, TAME - OPERATIONS WITH AREA BEARING",AREA GROWN: (1.0 TO 4.9 ACRES),"4,138"
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, TAME - OPERATIONS WITH AREA BEARING",AREA GROWN: (5.0 TO 14.9 ACRES),"1,099"
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, TAME - OPERATIONS WITH AREA BEARING",AREA GROWN: (15.0 TO 24.9 ACRES),343
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, TAME - OPERATIONS WITH AREA BEARING",AREA GROWN: (25.0 TO 49.9 ACRES),309
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, TAME - OPERATIONS WITH AREA BEARING",AREA GROWN: (50.0 TO 99.9 ACRES),178
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, TAME - OPERATIONS WITH AREA BEARING",AREA GROWN: (100 OR MORE ACRES),243
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, TAME - ACRES BEARING",,"97,515"
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, TAME - ACRES BEARING",AREA GROWN: (0.1 TO 0.9 ACRES),"1,679"
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, TAME - ACRES BEARING",AREA GROWN: (1.0 TO 4.9 ACRES),"6,819"
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, TAME - ACRES BEARING",AREA GROWN: (5.0 TO 14.9 ACRES),"7,745"
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, TAME - ACRES BEARING",AREA GROWN: (15.0 TO 24.9 ACRES),"5,483"
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, TAME - ACRES BEARING",AREA GROWN: (25.0 TO 49.9 ACRES),"8,202"
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, TAME - ACRES BEARING",AREA GROWN: (50.0 TO 99.9 ACRES),"10,715"
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, TAME - ACRES BEARING",AREA GROWN: (100 OR MORE ACRES),"56,874"
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, TAME - OPERATIONS WITH AREA NON-BEARING",,"4,582"
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, TAME - OPERATIONS WITH AREA NON-BEARING",AREA GROWN: (0.1 TO 0.9 ACRES),"2,488"
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, TAME - OPERATIONS WITH AREA NON-BEARING",AREA GROWN: (1.0 TO 4.9 ACRES),"1,335"
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, TAME - OPERATIONS WITH AREA NON-BEARING",AREA GROWN: (5.0 TO 14.9 ACRES),312
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, TAME - OPERATIONS WITH AREA NON-BEARING",AREA GROWN: (15.0 TO 24.9 ACRES),124
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, TAME - OPERATIONS WITH AREA NON-BEARING",AREA GROWN: (25.0 TO 49.9 ACRES),144
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, TAME - OPERATIONS WITH AREA NON-BEARING",AREA GROWN: (50.0 TO 99.9 ACRES),68
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, TAME - OPERATIONS WITH AREA NON-BEARING",AREA GROWN: (100 OR MORE ACRES),111
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, TAME - ACRES NON-BEARING",,"15,684"
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, TAME - ACRES NON-BEARING",AREA GROWN: (0.1 TO 0.9 ACRES),539
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, TAME - ACRES NON-BEARING",AREA GROWN: (1.0 TO 4.9 ACRES),"1,437"
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, TAME - ACRES NON-BEARING",AREA GROWN: (5.0 TO 14.9 ACRES),"1,274"
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, TAME - ACRES NON-BEARING",AREA GROWN: (15.0 TO 24.9 ACRES),"1,114"
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, TAME - ACRES NON-BEARING",AREA GROWN: (25.0 TO 49.9 ACRES),"2,516"
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, TAME - ACRES NON-BEARING",AREA GROWN: (50.0 TO 99.9 ACRES),"1,245"
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, TAME - ACRES NON-BEARING",AREA GROWN: (100 OR MORE ACRES),"7,557"
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, WILD - OPERATIONS WITH AREA GROWN",,"1,109"
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, WILD - OPERATIONS WITH AREA GROWN",AREA GROWN: (0.1 TO 0.9 ACRES),480
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, WILD - OPERATIONS WITH AREA GROWN",AREA GROWN: (1.0 TO 4.9 ACRES),214
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, WILD - OPERATIONS WITH AREA GROWN",AREA GROWN: (5.0 TO 14.9 ACRES),164
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, WILD - OPERATIONS WITH AREA GROWN",AREA GROWN: (15.0 TO 24.9 ACRES),65
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, WILD - OPERATIONS WITH AREA GROWN",AREA GROWN: (25.0 TO 49.9 ACRES),81
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, WILD - OPERATIONS WITH AREA GROWN",AREA GROWN: (50.0 TO 99.9 ACRES),62
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, WILD - OPERATIONS WITH AREA GROWN",AREA GROWN: (100 OR MORE ACRES),43
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, WILD - ACRES GROWN",,"40,059"
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, WILD - ACRES GROWN",AREA GROWN: (0.1 TO 0.9 ACRES),128
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, WILD - ACRES GROWN",AREA GROWN: (1.0 TO 4.9 ACRES),467
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, WILD - ACRES GROWN",AREA GROWN: (5.0 TO 14.9 ACRES),"1,431"
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, WILD - ACRES GROWN",AREA GROWN: (15.0 TO 24.9 ACRES),"1,165"
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, WILD - ACRES GROWN",AREA GROWN: (25.0 TO 49.9 ACRES),"2,729"
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, WILD - ACRES GROWN",AREA GROWN: (50.0 TO 99.9 ACRES),"4,112"
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, WILD - ACRES GROWN",AREA GROWN: (100 OR MORE ACRES),"30,027"
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, WILD - OPERATIONS WITH AREA BEARING",,916
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, WILD - OPERATIONS WITH AREA BEARING",AREA GROWN: (0.1 TO 0.9 ACRES),351
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, WILD - OPERATIONS WITH AREA BEARING",AREA GROWN: (1.0 TO 4.9 ACRES),180
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, WILD - OPERATIONS WITH AREA BEARING",AREA GROWN: (5.0 TO 14.9 ACRES),145
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, WILD - OPERATIONS WITH AREA BEARING",AREA GROWN: (15.0 TO 24.9 ACRES),60
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, WILD - OPERATIONS WITH AREA BEARING",AREA GROWN: (25.0 TO 49.9 ACRES),75
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, WILD - OPERATIONS WITH AREA BEARING",AREA GROWN: (50.0 TO 99.9 ACRES),62
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, WILD - OPERATIONS WITH AREA BEARING",AREA GROWN: (100 OR MORE ACRES),43
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, WILD - ACRES BEARING",,"20,928"
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, WILD - ACRES BEARING",AREA GROWN: (0.1 TO 0.9 ACRES),91
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, WILD - ACRES BEARING",AREA GROWN: (1.0 TO 4.9 ACRES),327
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, WILD - ACRES BEARING",AREA GROWN: (5.0 TO 14.9 ACRES),937
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, WILD - ACRES BEARING",AREA GROWN: (15.0 TO 24.9 ACRES),702
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, WILD - ACRES BEARING",AREA GROWN: (25.0 TO 49.9 ACRES),"1,612"
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, WILD - ACRES BEARING",AREA GROWN: (50.0 TO 99.9 ACRES),"2,222"
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, WILD - ACRES BEARING",AREA GROWN: (100 OR MORE ACRES),"15,038"
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, WILD - OPERATIONS WITH AREA NON-BEARING",,541
US TOTAL,99,,,BLUEBERRIES,"BLUEBERRIES, WILD - OPERATIONS WITH AREA NON-BEARING",AREA GROWN: (0.1 TO 0.9 ACRES),167
